sku,sort_order,category_path
DOSSHOILV1,6,fragrances/cented-body-care
DOSSHOILV1,7,fragrances/collections/do-son
DOSSHOILV1,8,fragrances/gift-ideas-fragrances
DOSSHOILV1,9,fragrances/tous-les-parfums
DECO00784,1,decoration
DECO00784,2,decoration/objects
DECO00784,3,decoration/ornaments
DECO00784,4,decoration/see-all
DECO00784,5,decoration/tray
DOSBLOT,1,bath-body-care/all-bath-body-care
DOSBLOT,2,bath-body-care/best-sellers
DOSBLOT,3,bath-body-care/body-care
DOSBLOT,4,bath-body-care/gift-ideas-body
CAPITAP75CV1,1,fragrances
CAPITAP75CV1,2,fragrances/collections/eau-capitale
CAPITAP75CV1,3,fragrances/eaux-de-parfum
CAPITAP75CV1,4,fragrances/tous-les-parfums
CAPIHMIST,1,bath-body-care/all-bath-body-care
CAPIHMIST,2,fragrances
CAPIHMIST,3,fragrances/collections/eau-capitale
CAPIHMIST,4,fragrances/hair-mists
CAPIHMIST,5,fragrances/tous-les-parfums
LIERRE100V3,1,fragrances
LIERRE100V3,2,fragrances/eaux-de-toilette
LIERRE100V3,3,fragrances/tous-les-parfums
MINTP75CV2,1,fragrances
MINTP75CV2,2,fragrances/eaux-de-parfum
MINTP75CV2,3,fragrances/tous-les-parfums
ROSEP75C,1,fragrances
ROSEP75C,2,fragrances/best-sellers-fragrances
ROSEP75C,3,fragrances/collections/eau-rose
ROSEP75C,4,fragrances/eaux-de-parfum
ROSEP75C,5,fragrances/tous-les-parfums
VOLUTEP75CV1,1,fragrances
VOLUTEP75CV1,2,fragrances/eaux-de-parfum
VOLUTEP75CV1,3,fragrances/tous-les-parfums
DOSON50V2,1,fragrances
DOSON50V2,2,fragrances/collections/do-son
DOSON50V2,3,fragrances/eaux-de-toilette
DOSON50V2,4,fragrances/tous-les-parfums
NERO100V2,1,fragrances
NERO100V2,2,fragrances/eaux-de-toilette
NERO100V2,3,fragrances/tous-les-parfums
HESP100V2,1,fragrances
HESP100V2,2,fragrances/eaux-de-toilette
HESP100V2,3,fragrances/tous-les-parfums
SENS100V2,1,fragrances
SENS100V2,2,fragrances/best-sellers-fragrances
SENS100V2,3,fragrances/collections/eau-des-sens
SENS100V2,4,fragrances/eaux-de-toilette
SENS100V2,5,fragrances/tous-les-parfums
SUM26SENS100,1,fragrances/eaux-de-toilette
SUM26SENS100,2,fragrances/tous-les-parfums
DUELLE50V1,1,fragrances
DUELLE50V1,2,fragrances/eaux-de-toilette
DUELLE50V1,3,fragrances/tous-les-parfums
LENTE100V2,1,fragrances
LENTE100V2,2,fragrances/eaux-de-toilette
LENTE100V2,3,fragrances/tous-les-parfums
MOHE100V2,1,fragrances
MOHE100V2,2,fragrances/eaux-de-toilette
MOHE100V2,3,fragrances/tous-les-parfums
ROSE100V2,1,fragrances
ROSE100V2,2,fragrances/best-sellers-fragrances
ROSE100V2,3,fragrances/collections/eau-rose
ROSE100V2,4,fragrances/eaux-de-toilette
ROSE100V2,5,fragrances/tous-les-parfums
ROSE50V2,1,fragrances
ROSE50V2,2,fragrances/collections/eau-rose
ROSE50V2,3,fragrances/eaux-de-toilette
ROSE50V2,4,fragrances/tous-les-parfums
GERA100V2,1,fragrances
GERA100V2,2,fragrances/eaux-de-toilette
GERA100V2,3,fragrances/tous-les-parfums
AUTRE100V2,1,fragrances
AUTRE100V2,2,fragrances/eaux-de-toilette
AUTRE100V2,3,fragrances/tous-les-parfums
OFRESIA100V2,1,fragrances
OFRESIA100V2,2,fragrances/eaux-de-toilette
OFRESIA100V2,3,fragrances/tous-les-parfums
PHILO100V2,1,fragrances
PHILO100V2,2,fragrances/collections/philosykos
PHILO100V2,3,fragrances/eaux-de-toilette
PHILO100V2,4,fragrances/gift-ideas-fragrances
PHILO100V2,5,fragrances/tous-les-parfums
PHILO50V2,1,fragrances
PHILO50V2,2,fragrances/collections/philosykos
PHILO50V2,3,fragrances/eaux-de-toilette
PHILO50V2,4,fragrances/tous-les-parfums
TAMDAO50V2,1,fragrances
TAMDAO50V2,2,fragrances/collections/collections-tam-dao
TAMDAO50V2,3,fragrances/eaux-de-toilette
TAMDAO50V2,4,fragrances/tous-les-parfums
SENSHMISTV1,1,fragrances
SENSHMISTV1,2,fragrances/collections/eau-des-sens
SENSHMISTV1,3,fragrances/gift-ideas-fragrances
SENSHMISTV1,4,fragrances/hair-mists
SENSHMISTV1,5,fragrances/tous-les-parfums
SOAPSENSV1,1,bath-body-care
SOAPSENSV1,2,bath-body-care/all-bath-body-care
SOAPSENSV1,3,bath-body-care/body-care
SOAPSENSV1,4,fragrances/cented-body-care
SOAPSENSV1,5,fragrances/collections/eau-des-sens
SOAPSENSV1,6,fragrances/tous-les-parfums
DUELLEP75CV1,1,fragrances
DUELLEP75CV1,2,fragrances/eaux-de-parfum
DUELLEP75CV1,3,fragrances/tous-les-parfums
DUELLE100V2,1,fragrances
DUELLE100V2,2,fragrances/eaux-de-toilette
DUELLE100V2,3,fragrances/tous-les-parfums
NABATIP75C,1,fragrances
NABATIP75C,2,fragrances/eaux-de-parfum
NABATIP75C,3,fragrances/tous-les-parfums
PAPIER100,1,fragrances
PAPIER100,2,fragrances/collections/papier
PAPIER100,3,fragrances/eaux-de-toilette
PAPIER100,4,fragrances/tous-les-parfums
PAPIER50,1,fragrances
PAPIER50,2,fragrances/collections/papier
PAPIER50,3,fragrances/eaux-de-toilette
PAPIER50,4,fragrances/tous-les-parfums
MEASTP75C,1,fragrances
MEASTP75C,2,fragrances/eaux-de-parfum
MEASTP75C,3,fragrances/tous-les-parfums
ROSBLOTIONV1,1,bath-body-care
ROSBLOTIONV1,2,bath-body-care/all-bath-body-care
ROSBLOTIONV1,3,bath-body-care/body-care
ROSBLOTIONV1,4,fragrances/cented-body-care
ROSBLOTIONV1,5,fragrances/collections/eau-rose
ROSBLOTIONV1,6,fragrances/gift-ideas-fragrances
ROSBLOTIONV1,7,fragrances/tous-les-parfums
ROSHCREAMV1,1,bath-body-care
ROSHCREAMV1,2,bath-body-care/all-bath-body-care
ROSHCREAMV1,3,bath-body-care/gift-ideas-body
ROSHCREAMV1,4,bath-body-care/hand-care
ROSHCREAMV1,5,fragrances/cented-body-care
ROSHCREAMV1,6,fragrances/collections/eau-rose
ROSHCREAMV1,7,fragrances/tous-les-parfums
SOAPROSE,1,bath-body-care
SOAPROSE,2,bath-body-care/all-bath-body-care
SOAPROSE,3,bath-body-care/body-care
SOAPROSE,4,fragrances/cented-body-care
SOAPROSE,5,fragrances/collections/eau-rose
SOAPROSE,6,fragrances/tous-les-parfums
SOLIDEROSE1,1,fragrances
SOLIDEROSE1,2,fragrances/collections/eau-rose
SOLIDEROSE1,3,fragrances/solid-perfumes
SOLIDEROSE1,4,fragrances/tous-les-parfums
RSOLIDEROSE,1,fragrances
RSOLIDEROSE,2,fragrances/collections/eau-rose
RSOLIDEROSE,3,fragrances/solid-perfumes
RSOLIDEROSE,4,fragrances/tous-les-parfums
SENS50V2,1,fragrances
SENS50V2,2,fragrances/collections/eau-des-sens
SENS50V2,3,fragrances/eaux-de-toilette
SENS50V2,4,fragrances/tous-les-parfums
OYEDO50V3,1,fragrances
OYEDO50V3,2,fragrances/eaux-de-toilette
OYEDO50V3,3,fragrances/tous-les-parfums
VETY50V2,1,fragrances
VETY50V2,2,fragrances/eaux-de-toilette
VETY50V2,3,fragrances/tous-les-parfums
VETY100V2,1,fragrances
VETY100V2,2,fragrances/eaux-de-toilette
VETY100V2,3,fragrances/tous-les-parfums
TROIS100V2,1,fragrances
TROIS100V2,2,fragrances/eaux-de-toilette
TROIS100V2,3,fragrances/tous-les-parfums
ELECPLUG,1,home
ELECPLUG,2,home/diffusers
ELECPLUG,3,home/diffusers/diffuseurs-electriques
EU2,1,home
EU2,2,home/scented-candles
EU2,3,home/scented-candles/classic-scented-candles
EU2,4,new-and-trending/summer-scents
HANDSCRUB1,1,bath-body-care
HANDSCRUB1,2,bath-body-care/all-bath-body-care
HANDSCRUB1,3,bath-body-care/best-sellers
HANDSCRUB1,4,bath-body-care/hand-care
FBG3,1,home/collections/feu-de-bois
FBG3,2,home/scented-candles
FBG3,3,home/scented-candles/medium-scented-candles
FB600,1,home
FB600,2,home/collections/feu-de-bois
FB600,3,home/scented-candles
FB600,4,home/scented-candles/colored-scented-candles
FB15001,1,home
FB15001,2,home/collections/feu-de-bois
FB15001,3,home/diffusers
FB15001,4,home/gift-ideas-home
FB15001,5,home/scented-candles/extra-large-scented-candles
TAPCDLFB,1,home/scented-candles
TAPCDLFB,2,home/scented-candles/stands-scented-candles
TAPCDLFB,3,new-and-trending
XM23TAPCDLC,1,home/scented-candles/stands-scented-candles
FB70V,1,home
FB70V,2,home/collections/feu-de-bois
FB70V,3,home/scented-candles
FB70V,4,home/scented-candles/small-scented-candles
FL70VV1,1,home
FL70VV1,2,home/scented-candles
FL70VV1,3,home/scented-candles/small-scented-candles
REFREEDFI,1,home
REFREEDFI,2,home/collections/figuier
REFREEDFI,3,home/diffusers
REFREEDFI,4,home/diffusers/home-fragrance-diffusers
REFREEDFI,5,home/diffusers/inserts
HGFIRCARB3,1,home
HGFIRCARB3,2,home/collections/figuier
HGFIRCARB3,3,home/diffusers
HGFIRCARB3,4,home/diffusers/hourglass-diffuser
HGFIRCARB3,5,home/diffusers/inserts
FI15001,1,home
FI15001,2,home/collections/figuier
FI15001,3,home/diffusers
FI15001,4,home/scented-candles/extra-large-scented-candles
FI15001,5,new-and-trending/summer-scents
VFI,1,home
VFI,2,home/collections/figuier
VFI,3,home/diffusers
VFI,4,home/room-sprays
VFI,5,new-and-trending/summer-scents
PFI,1,home
PFI,2,home/collections/figuier
PFI,3,home/diffusers
PFI,4,home/diffusers/wax-ovals
FI70V,1,home
FI70V,2,home/collections/figuier
FI70V,3,home/scented-candles
FI70V,4,home/scented-candles/small-scented-candles
FI70V,5,new-and-trending/summer-scents
DECO01436,1,decoration/gift-ideas-deco
DECO01436,2,decoration/stands
CY2,1,home
CY2,2,home/best-sellers-home
CY2,3,home/collections/fleur-d-oranger
CY2,4,home/scented-candles
CY2,5,home/scented-candles/classic-scented-candles
CY2,6,new-and-trending/summer-scents
HGFORCARB3,1,home
HGFORCARB3,2,home/diffusers
HGFORCARB3,3,home/diffusers/hourglass-diffuser
HGFORCARB3,4,home/diffusers/inserts
CAPSFO,1,home
CAPSFO,2,home/diffusers
CAPSFO,3,home/diffusers/diffuseurs-electriques
CAPSFO,4,home/diffusers/inserts
VFOV1,1,home
VFOV1,2,home/collections/fleur-d-oranger
VFOV1,3,home/diffusers
VFOV1,4,home/room-sprays
VFOV1,5,new-and-trending/summer-scents
FDC190,1,home
FDC190,2,home/scented-candles
FDC190,3,home/scented-candles/classic-scented-candles
FLEURBGEL200,1,bath-body-care
FLEURBGEL200,2,bath-body-care/all-bath-body-care
FLEURBGEL200,3,bath-body-care/body-care
FLEURBGEL200,4,fragrances/cented-body-care
FLEURBGEL200,5,fragrances/gift-ideas-fragrances
FLEURBGEL200,6,fragrances/tous-les-parfums
FLEURP75CV1,1,fragrances
FLEURP75CV1,2,fragrances/eaux-de-parfum
FLEURP75CV1,3,fragrances/gift-ideas-fragrances
FLEURP75CV1,4,fragrances/tous-les-parfums
LARGEEDPFL,1,fragrances
LARGEEDPFL,2,fragrances/eaux-de-parfum
FLEUR100,1,fragrances
FLEUR100,2,fragrances/eaux-de-toilette
FLEUR50,1,fragrances
FLEUR50,2,fragrances/eaux-de-toilette
FLEURHMIST,1,fragrances
FLEURHMIST,2,fragrances/hair-mists
FLEURHMIST,3,fragrances/tous-les-parfums
FLEURBLOTV1,1,bath-body-care
FLEURBLOTV1,2,bath-body-care/all-bath-body-care
FLEURBLOTV1,3,bath-body-care/body-care
FLEURBLOTV1,4,fragrances/cented-body-care
FLEURBLOTV1,5,fragrances/tous-les-parfums
FLEURBLOTION,1,bath-body-care
FLEURBLOTION,2,bath-body-care/all-bath-body-care
FLEURBLOTION,3,bath-body-care/body-care
FLEURBLOTION,4,fragrances/cented-body-care
FLEURBLOTION,5,fragrances/tous-les-parfums
FLEURHCREAMV1,1,bath-body-care
FLEURHCREAMV1,2,bath-body-care/all-bath-body-care
FLEURHCREAMV1,3,bath-body-care/gift-ideas-body
FLEURHCREAMV1,4,bath-body-care/hand-care
FLEURHCREAMV1,5,fragrances/cented-body-care
FLEURHCREAMV1,6,fragrances/tous-les-parfums
SUM26SGEL200,1,bath-body-care/body-care
SUM26SGEL200,2,bath-body-care/summer-rituals
FR3,1,home
FR3,2,home/scented-candles
FR3,3,home/scented-candles/classic-scented-candles
FR70VV1,1,home
FR70VV1,2,home/scented-candles
FR70VV1,3,home/scented-candles/small-scented-candles
FBODYLOTION,1,bath-body-care
FBODYLOTION,2,bath-body-care/all-bath-body-care
FBODYLOTION,3,bath-body-care/body-care
BZHOLDLENS,1,decoration
BZHOLDLENS,2,decoration/best-seller-deco
BZHOLDLENS,3,decoration/candle-holders
BZHOLDLENS,4,decoration/candles-and-accessories
BZHOLDLENS,5,decoration/objects
